('2017-05-01 15:57:03', '$JPM:\n\nNew SEC Filing for JPM: Form 424B2 (No. 0001140361-17-017485):\n\nhttps://t.co/HWuO6Z6wHh')
('2017-04-30 05:54:14', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:14', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:13', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:54:04', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:54:02', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:58', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:58', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:57', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:54', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:51', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:51', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:48', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:48', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:47', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:45', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:43', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:42', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:37', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:34', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:34', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:34', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:31', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:31', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:29', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:29', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:29', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:28', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:28', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:26', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:26', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:26', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:25', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:24', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:23', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:21', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:21', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:21', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:19', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:08', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:07', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:06', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:06', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:04', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:53:04', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:03', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:03', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:01', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:00', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:53:00', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:58', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:57', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:57', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:57', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:56', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:55', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:53', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:53', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:50', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:46', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:44', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:42', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:41', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:40', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:40', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:38', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:38', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:37', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:37', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:37', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:36', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:36', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:35', 'RT @InvestorHangout: Hot Stocks $AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM $TSLA $CDII $PUPS \n\nhtt‰Û_')
('2017-04-30 05:52:35', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:34', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:32', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:31', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:31', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:29', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:28', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:24', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:23', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:22', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:21', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:21', 'RT @InvestorHangout: Hot Stocks $AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM $TSLA $CDII $PUPS \n\nhtt‰Û_')
('2017-04-30 05:52:20', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:20', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:20', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:18', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:17', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:17', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:16', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:16', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:52:16', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:14', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:52:14', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
