('2017-04-17 15:59:15'," ""@ScottWapnerCNBC $AMZN crushes everyone they compete with.  $NFLX will be AMAZON'S next victim."")"
('2017-04-17 11:19:06', '$NFLX Q1 Q2 U.S. subscribers likely to beat expectations says SunTrust. It keeps a Hold rating on the stock')
('2017-04-17 11:18:09', 'Benzinga: 5 Stocks To Watch For April 17 2017 https://t.co/0yYsq7GITb $CE $JBHT $MTB $NFLX $UAL')
('2017-04-17 11:17:28', 'RT @Benzinga: 5 Stocks To Watch For April 17 2017 https://t.co/1PhPufcIYB $CE $JBHT $MTB $NFLX $UAL')
('2017-04-17 11:17:28', 'RT @Benzinga: 5 Stocks To Watch For April 17 2017 https://t.co/1PhPufcIYB $CE $JBHT $MTB $NFLX $UAL')
('2017-04-17 11:15:55', '@StayThirsty_Jay $NFLX https://t.co/MZ6AlNONe1')
('2017-04-17 11:15:01', '5 Stocks To Watch For April 17 2017 https://t.co/1PhPufcIYB $CE $JBHT $MTB $NFLX $UAL')
('2017-04-17 11:13:27'," '$NFLX ER AMC Today: ""negative cash flow and rising debt is a concern"" - MW \nhttps://t.co/F70yZESh92')"
('2017-04-17 11:11:59', 'Netflix Inc. $NFLX Stock Rating Upgraded by Vetr Inc. https://t.co/Xi1tSSno0n')
('2017-04-17 11:05:27', '$NFLX tomorrow 149')
('2017-04-17 11:05:25', 'RT @i_Know_First: &gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/Q‰Û_')
('2017-04-17 11:05:07', '$TWTR Check out this site! #InvestorsHangout $AGEN $ABX $COP $NFLX $NADL\n\n https://t.co/KGl8skSq3O')
('2017-04-17 11:00:57', '@twj_private $nflx likely to break the $QQQ tonight.  Very risky over night session coming.')
('2017-04-17 10:57:47', '#Earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB https://t.co/p4gLXBfHm6')
('2017-04-17 10:57:12', '#Earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB https://t.co/BSjh6JtPy8')
('2017-04-17 10:56:57', 'RT @androsForm: Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 10:50:46', 'Some ER AH \n\n$BRO $CUDA $NFLX $PNFP $UAL https://t.co/WAWKEBE68B')
('2017-04-17 10:45:34'," ""#TRADING Today's earnings  $NFLX $MTB $UAL $CUDA https://t.co/3MMQW2zzGd"")"
('2017-04-17 10:42:54', 'Pre-Market Movers - $BAC $INCY $LLY $MGI $BABA $QCOM $NFLX $MS $AAPL https://t.co/LKXp69SNNE')
('2017-04-17 10:42:40', '$NFLX reports after close today. Expectations are high!')
('2017-04-17 10:41:51', '$NFLX price to sales ratio compared to YoY growth #stocks #investing #netflix #tech https://t.co/9msYEPRFjP')
('2017-04-17 10:33:56', 'How to Win a Simulated Stock Trading Contest: https://t.co/cvMoTkLFU4 $TVIX $UVXY $FAS $FAZ $DWTI $UWTI $TSLA $NFLX $SPY $FB $AMD #stocks')
('2017-04-17 10:33:13', '$UAL $NFLX $MGI $BABA:\n\nUS stock futures hint of lower start as geopolitical economic worries ‰Û_:\n\nhttps://t.co/eC46JmWCA7')
('2017-04-17 10:32:18'," ""@michaelpachter What's your current number on what $NFLX  is actually worth?"")"
('2017-04-17 10:30:40'," ""Don't care what happens in earnings season ...I'm not selling $AMZN and I'm not selling $NFLX"")"
('2017-04-17 10:27:19', 'RT @eWhispers: #earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB  https:/‰Û_')
('2017-04-17 10:27:02'," ""10 Helpful Personal Finance Tips That Won't Require Drastic Lifes... https://t.co/DLPLN50juR $SBUX $NFLX"")"
('2017-04-17 10:22:17', '$NFLX Netflix Q1 17 Earnings Conference Call At 6:00 PM ET https://t.co/vrmQLzKK6v')
('2017-04-17 10:15:03', '$CE $NFLX $MTB $UAL 5 Stocks To Watch For April 17 2017 - https://t.co/fPwSUKszvq')
('2017-04-17 10:08:29', 'RT @JustinPulitzer: Weekend Review Video 4/16: $VIX $TLT $GLD $SLV $IBB $SPY $IWM $QQQ $MSFT $AAPL $AMZN $FB $NFLX $TSLA $CAT $IBM $QCOM ht‰Û_')
('2017-04-17 10:00:49', 'Notable earnings after Monday‰Ûªs close https://t.co/YYneA4mzAN $BRO $CUDA $NFLX $PNFP #StockMarket #Stocks #Investing #ER #Earnings #Nasdaq')
('2017-04-17 10:00:16', 'RT @ericmandl: Thank you @BloombergTV for the opportunity to discuss trends in #cloud #IoT #AI #software \n$IBM $MSFT $GOOG $AMZN $FB $TSLA‰Û_')
('2017-04-17 09:55:37', '#BREAKING Investors Unfazed By North Korea $NFLX $UAL $CUDA https://t.co/is8s4D4sws https://t.co/FtdM7GDB0W')
('2017-04-17 09:46:02', 'Recommendation Moderate #SELL for $NFLX with UB rating - 1.46 out of 5. https://t.co/dgSzy3onhC')
('2017-04-17 09:25:38', 'RT @SharePlanner: Managing risk is what will lead to greater profitability - here are 3 ways. #trading $AAPL $FB $NFLX $GOOGL $AMZN  https:‰Û_')
('2017-04-17 09:25:31', 'RT @SharePlanner: Be sure to try a Free 7-Day Trial of the SharePlanner Splash Zone. Learn to Profit Trade consistently #stocks $NFLX http‰Û_')
('2017-04-17 09:20:52', '$AAPL TO of $NFLX makes far more sense @tim_cook @reedhastings  https://t.co/pqxiD9O4UO')
('2017-04-17 08:54:22', 'RT @SleemStockPicks: #Earnings Calendar --&gt; $NFLX $UAL $CUDA $BAC $GNC $HOG $GS $JNJ $MS $ABT $EBAY $QCOM $VZ $PM $SKX $V $SLB $GE $IBM\nhtt‰Û_')
('2017-04-17 08:53:42', 'RT @AverageJoeTradr: Focused #earnings $NFLX $HOG $BAC  $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB  $ABT $UAL $CMA $‰Û_')
('2017-04-17 08:45:22', 'RT @rdagh0: $NFLX just got gg draxxed\nhttps://t.co/UbjiPskBmP')
('2017-04-17 08:45:13', 'NFLX - Potential TOP $NFLX https://t.co/3Hjwx9am9T TV_TradingIdeas')
('2017-04-17 08:41:51', '$NFLX Potential TOP https://t.co/mpt17r6UgG')
('2017-04-17 08:37:55', 'NFLX - Potential TOP $NFLX https://t.co/hVGbwTQwiU')
('2017-04-17 08:37:54', 'NFLX - Potential TOP - $NFLX chart https://t.co/bPovo9r2pO')
('2017-04-17 08:34:45', 'Notable earnings after Monday‰Ûªs close https://t.co/SlunSQFOqt $BRO $CUDA $NFLX $PNFP')
('2017-04-17 08:30:35', 'I feel like everyone in the states already uses $NFLX. Not expecting much growth here. Maybe Asia. Buying after #ER if it dips')
('2017-04-17 08:20:36', 'RT @eWhispers: #earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB  https:/‰Û_')
('2017-04-17 07:49:23', 'RT @JustinPulitzer: Weekend Review Video 4/16: $VIX $TLT $GLD $SLV $IBB $SPY $IWM $QQQ $MSFT $AAPL $AMZN $FB $NFLX $TSLA $CAT $IBM $QCOM ht‰Û_')
('2017-04-17 07:44:37', 'RT @SharePlanner: Managing risk is what will lead to greater profitability - here are 3 ways. #trading $AAPL $FB $NFLX $GOOGL $AMZN  https:‰Û_')
('2017-04-17 07:44:22', 'RT @SharePlanner: Be sure to try a Free 7-Day Trial of the SharePlanner Splash Zone. Learn to Profit Trade consistently #stocks $NFLX http‰Û_')
('2017-04-17 07:37:24', 'Netflix Inc. $NFLX PT Set at $160.00 by Cantor Fitzgerald https://t.co/MFAHHz3Awd')
('2017-04-17 07:31:53', 'Notable earnings after Monday‰Ûªs close $BRO $CUDA $NFLX $PNFP $UAL https://t.co/WgcNzsEpkP')
('2017-04-17 07:30:15', 'Is #Netflix $NFLX Setting up for a LONG ahead of #Earnings 17 Apr? Get Analysis &amp; #Stocks #Option Play HERE &gt;&gt;‰Û_ https://t.co/tyUAjsU4cV')
('2017-04-17 07:28:41', 'Netflix Inc. $NFLX PT Set at $160.00 by Cantor Fitzgerald https://t.co/uWo3qHhXkp')
('2017-04-17 07:28:10', '$MTB $NFLX $UAL:\n\nFutures point to a lower open on Wall Street amid North Korea ‰Û_:\n\nhttps://t.co/H8qDkhyjJ0')
('2017-04-17 06:51:02', 'Not sure what to do with $NFLX? Explore our #fundamental pros and cons.  https://t.co/YSZaL1TjnL')
('2017-04-17 06:48:14', 'RT @SharePlanner: Managing risk is what will lead to greater profitability - here are 3 ways. #trading $AAPL $FB $NFLX $GOOGL $AMZN  https:‰Û_')
('2017-04-17 06:47:54', 'RT @SharePlanner: Be sure to try a Free 7-Day Trial of the SharePlanner Splash Zone. Learn to Profit Trade consistently #stocks $NFLX http‰Û_')
('2017-04-17 06:37:41', 'RT @IKFResearch: &gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/VP‰Û_')
('2017-04-17 06:30:30', 'RT @IKFResearch: &gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/VP‰Û_')
('2017-04-17 06:28:54', '$NFLX forecast https://t.co/m0Pj8Lemur')
('2017-04-17 06:18:55', 'Market Wizards by Jack Schwager: https://t.co/HajQ4ZBapK $AAPL $TSLA $FB $NFLX $X $SGY $REN $CRMD $T $TTOO')
('2017-04-17 06:17:14', '#Netflix #Stock: What To Expect From Netflix Q1 Earnings? $NFLX https://t.co/yDKLCbfNXz https://t.co/va2APBCn3B')
('2017-04-17 06:15:10', '&gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/cpHaJNkMfy  $AAPL')
('2017-04-17 06:13:43', 'Stocks Head Into Monday With North Korea $NFLX In Mind $UAL $CUDA https://t.co/EwLTsWRpBg https://t.co/kNkKzHYnnT https://t.co/IfPPurH8Ut')
('2017-04-17 06:06:27', 'Earnings season gets going $NFLX $BAC $QCOM $VZ https://t.co/ZXmMQ9IfRW')
('2017-04-17 06:05:16', 'Also $NFLX earnings call will be wild')
('2017-04-17 06:05:04', '&gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/4CBFXWCKcE  $AAPL')
('2017-04-17 06:05:04', '&gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/VPEXrhegS5  $AAPL')
('2017-04-17 06:02:17', 'RT @IKF_italy: &gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/CDtb‰Û_')
('2017-04-17 06:02:02', 'Are you Bullish or Bearish on #Netflix? Start #Trading $NFLX with #Bitcoin. 15:1 Leverage. #Cool #Gif #Stocks‰Û_ https://t.co/UtZrdMdpT7')
('2017-04-17 06:00:25', '&gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/Pm0wdjpM19  $AAPL')
('2017-04-17 06:00:25', '&gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/Ft0S93ucmY  $AAPL')
('2017-04-17 06:00:25', '&gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/sVfZSZvyfr  $AAPL')
('2017-04-17 06:00:25', '&gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/VBgeBRtCRj  $AAPL')
('2017-04-17 05:55:41', 'RT @SharePlanner: Managing risk is what will lead to greater profitability - here are 3 ways. #trading $AAPL $FB $NFLX $GOOGL $AMZN  https:‰Û_')
('2017-04-17 05:55:04', '&gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/Q7sjrk07Ox  $AAPL')
('2017-04-17 05:55:04', '&gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/CEtQkF7WVl  $AAPL')
('2017-04-17 05:55:03', '&gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/CDtbHofyfW  $AAPL')
('2017-04-17 05:54:12', 'RT @Gold_prediction: &gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.c‰Û_')
('2017-04-17 05:54:12', 'RT @IKnowFirstUK: &gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/u‰Û_')
('2017-04-17 05:54:11', 'RT @yaron_gol: &gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/xw41‰Û_')
('2017-04-17 05:52:34', 'RT @SharePlanner: Be sure to try a Free 7-Day Trial of the SharePlanner Splash Zone. Learn to Profit Trade consistently #stocks $NFLX http‰Û_')
('2017-04-17 05:52:12', 'RT @SleemStockPicks: #Earnings Calendar --&gt; $NFLX $UAL $CUDA $BAC $GNC $HOG $GS $JNJ $MS $ABT $EBAY $QCOM $VZ $PM $SKX $V $SLB $GE $IBM\nhtt‰Û_')
('2017-04-17 05:49:54', 'Seasonal charts of companies reporting earnings today: https://t.co/No0tdnqfq4 $BRO $CE $MTB $NFLX $UAL')
('2017-04-17 05:45:08', '&gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/NczrEuxJnj  $AAPL')
('2017-04-17 05:45:07', '&gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/uN6VXx7TrN  $AAPL')
('2017-04-17 05:45:07', '&gt;&gt;Top 10 Stocks to Buy This Week Based On Artificial Intelligence| $NFLX Stock Forecast Before Earnings |  https://t.co/xw4158q2EX  $AAPL')
('2017-04-17 05:40:12', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN https://t.‰Û_')
('2017-04-17 05:39:58', 'Notable earnings after Monday‰Ûªs close\n$BRO $CUDA $NFLX $PNFP $UAL https://t.co/kNkKzHYnnT https://t.co/IfPPurH8Ut https://t.co/95Dkb2rI6F')
('2017-04-17 05:38:56', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN https://t.‰Û_')
('2017-04-17 05:38:32', 'Cautious on $NFLX ? https://t.co/yY6EIU8usc')
('2017-04-17 05:35:04', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN https://t.‰Û_')
('2017-04-17 05:28:57', 'RT @IBDinvestors: Stock futures show investors unfazed by N. Korea missile test; Netflix earnings on tap https://t.co/zWCUhXC6lz $NFLX $UAL‰Û_')
('2017-04-17 05:13:53', 'Netflix Inc. $NFLX Stock Rating Upgraded by Vetr Inc. https://t.co/MYMNg7Gv7Z')
('2017-04-17 05:13:30', 'RT @Investing_Books: The Options Playbook by Brian Overby: https://t.co/M6vA7HWElC $VIX $AMZN $NFLX $GOOGL $SPY $IWM')
('2017-04-17 05:03:56', 'The Options Playbook by Brian Overby: https://t.co/M6vA7HWElC $VIX $AMZN $NFLX $GOOGL $SPY $IWM')
('2017-04-17 05:02:55', '3 Things to Watch in the Stock Market This Week @themotleyfool #stocks $^DJI $^GSPC $JNJ $NFLX $AXP https://t.co/hlYEhYjJCc #stockmarket')
('2017-04-17 05:01:47', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN https://t.‰Û_')
('2017-04-17 05:01:46', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.co/v0n‰Û_')
('2017-04-17 05:00:06', 'https://t.co/JGqllsKCR0 // Stock Market Weekly Report $SPY $INCY $WYNN $NFLX... // $INCY #trading #investing #stocks https://t.co/4Z0HznF6hH')
('2017-04-17 04:58:53', '$SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN https://t.co/02HDIFTdwx')
('2017-04-17 04:58:20', '$SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.co/v0nvRZgdWO')
('2017-04-17 04:52:45', 'Vetr users have downgraded Netflix Inc. to a SELL Rating (2.5 stars) giving $NFLX a target price of $137.64 https://t.co/kPbAwulQwb')
('2017-04-17 04:49:55', 'RT @TheStreet: What is surprising is how much higher Netflix usage is than that for any direct rival https://t.co/ZOF428erIN $NFLX')
('2017-04-17 04:47:58', '$NFLX profits now that the trade has finished\n#trading #options https://t.co/9HkNhPl9mD')
('2017-04-17 04:38:24'," 'RT @option_snipper: Funny to see lots of ""chartists"" make judgment ONLY based on DAILY charts... check weekly &amp; monthly w/ BOLL $TSLA $CMG‰Û_')"
('2017-04-17 04:29:49', 'RT @IBDinvestors: Stock futures show investors unfazed by N. Korea missile test; Netflix earnings on tap https://t.co/zWCUhXC6lz $NFLX $UAL‰Û_')
('2017-04-17 04:29:24', 'RT @IBDinvestors: Stock futures show investors unfazed by N. Korea missile test; Netflix earnings on tap https://t.co/zWCUhXC6lz $NFLX $UAL‰Û_')
('2017-04-17 04:20:40', 'Stock futures show investors unfazed by N. Korea missile test; Netflix earnings on tap https://t.co/zWCUhXC6lz‰Û_ https://t.co/P3Gmw3P9qN')
('2017-04-17 04:04:55', 'RT @OptionsHawk: Now Available: Earnings Snapshot Previews/Trades 4-17-17 $NFLX $IBM $EBAY $SLB $HON https://t.co/wA17uNlxOT')
('2017-04-17 04:02:35', 'RT @scutify: Scutify Weekly. Find Out Hottest #Teen Brands; #Netflix Earnings: Can Netflix Crush It Again? $NFLX $NKE $SNAP $AMZN https://t‰Û_')
('2017-04-17 04:02:19', 'RT @scutify: Scutify Weekly. Find Out Hottest #Teen Brands; #Netflix Earnings: Can Netflix Crush It Again? $NFLX $NKE $SNAP $AMZN https://t‰Û_')
('2017-04-17 03:40:13', 'What happens to stocks the day after Easter...\nhttps://t.co/7uiSnBWEjo\n$SPY $NFLX $UAL $DAL $CMCSA')
('2017-04-17 03:35:01', 'RT @TradersCom: What to Expect From NetFlix $NFLX #Earnings This Week $QQQ $SPX $ES_f $AMZN $AAPL https://t.co/9u0zg3ueA2')
('2017-04-17 03:32:23', 'Is #Netflix $NFLX Setting up for a LONG ahead of #Earnings 17 Apr? Get Analysis &amp; #Stocks #Option Play HERE &gt;&gt;‰Û_ https://t.co/hcAD7xHIc4 vi‰Û_')
('2017-04-17 03:27:36', 'RT @SharePlanner: Be sure to try a Free 7-Day Trial of the SharePlanner Splash Zone. Learn to Profit Trade consistently #stocks $NFLX http‰Û_')
('2017-04-17 03:26:48', '$NFLX No 1 lives the flix more then me but unless we have some crazy bullish surprise we are going for 135 &amp; 125 levels to fill the gaps')
('2017-04-17 03:25:04', 'Is #Netflix $NFLX Setting up for a LONG ahead of #Earnings 17 Apr? Get Analysis &amp; #Stocks #Option Play HERE &gt;&gt;‰Û_ https://t.co/8mm2lTHWzC')
('2017-04-17 03:25:04', 'Is #Netflix $NFLX Setting up for a LONG ahead of #Earnings 17 Apr? Get Analysis &amp; #Stocks #Option Play HERE &gt;&gt;‰Û_ https://t.co/FkkHXlcG7u')
('2017-04-17 03:25:04', 'Is #Netflix $NFLX Setting up for a LONG ahead of #Earnings 17 Apr? Get Analysis &amp; #Stocks #Option Play HERE &gt;&gt;‰Û_ https://t.co/74Fof2QOQx')
('2017-04-17 03:25:04', 'Is #Netflix $NFLX Setting up for a LONG ahead of #Earnings 17 Apr? Get Analysis &amp; #Stocks #Option Play HERE &gt;&gt;‰Û_ https://t.co/X8gaE0qZY8')
('2017-04-17 03:25:04', 'Is #Netflix $NFLX Setting up for a LONG ahead of #Earnings 17 Apr? Get Analysis &amp; #Stocks #Option Play HERE &gt;&gt;‰Û_ https://t.co/i35ADD3vPb')
('2017-04-17 03:25:04', 'Is #Netflix $NFLX Setting up for a LONG ahead of #Earnings 17 Apr? Get Analysis &amp; #Stocks #Option Play HERE &gt;&gt;‰Û_ https://t.co/hogen3fJF9')
('2017-04-17 03:24:30', 'Scutify Weekly. Find Out Hottest Teen Brands; Netflix Earnings: Can Netflix Crush It Again? $NFLX $NKE $SNAP $AMZN https://t.co/BwFNaJlAkL')
('2017-04-17 03:24:13', 'Scutify Weekly. Find Out Hottest #Teen Brands; #Netflix Earnings: Can Netflix Crush It Again? $NFLX $NKE $SNAP‰Û_ https://t.co/3or4U0l5O1')
('2017-04-17 03:13:22', 'RT @chessNwine: Weekend Overview and Analysis 04/16/17 {Video} https://t.co/4uqTodRoKa $IWM $NFLX $QQQ $SPY $TSLA #stocks #market')
('2017-04-17 03:12:21', '@Mw101a @LMT978 @traderphoebe $AMZN and $NFLX are great companies but are they worth this price?')
('2017-04-17 03:05:03', 'Watch List!  $LULU $PENN $NFLX $CAT and others https://t.co/VUq9JCAA3f')
('2017-04-17 02:55:22', 'Analysts See 10 Companies Beating Expectations 4 Earnings https://t.co/iwnZjm858u $GOOGL $CME $EXPE $FB $GILD $INCY $LMT $NFLX $PCLN $COL')
('2017-04-17 02:48:53', '7 Key Earnings Expected This Coming Week https://t.co/qMlhZb5aot https://t.co/IfPPurH8Ut $NFLX $UAL $EBAY $MS $QCOM $SLB $HON')
('2017-04-17 02:46:14', '$NFLX Max Pain is 144.00 for maturity 04/21/2017. Prev Close = 142.92.  https://t.co/lEgRWXkWfU https://t.co/YLtOGCVkvU')
('2017-04-17 02:45:22', 'RT @TradersCom: US #Earnings To Watch Tomorrow Apr 17 2017 $MTB $BRO $NFLX $CE $PNFP $UAL $CUDA $SPX $QQQ https://t.co/ohaAL723Bf')
('2017-04-17 02:45:20', 'RT @TradersCom: What to Expect From NetFlix $NFLX #Earnings This Week $QQQ $SPX $ES_f $AMZN $AAPL https://t.co/9u0zg3ueA2')
('2017-04-17 02:41:37', 'What to Expect From NetFlix $NFLX #Earnings This Week $QQQ $SPX $ES_f $AMZN $AAPL https://t.co/9u0zg3ueA2')
('2017-04-17 02:39:25', 'US #Earnings To Watch Tomorrow Apr 17 2017 $MTB $BRO $NFLX $CE $PNFP $UAL $CUDA $SPX $QQQ https://t.co/ohaAL723Bf')
('2017-04-17 02:38:01', '$.SPX $NFLX $BAC $GS $AXP:\n\nComing up this week in business: Profits a gut check on the ‰Û_:\n\nhttps://t.co/Bpo4Au708Q')
('2017-04-17 02:37:32', 'Any thoughts on $NFLX ?? Can they sustain repetitive growth or have they peaked expectation? #earnings #netflix')
('2017-04-17 02:30:27', 'RT @OptionsHawk: Now Available: Earnings Snapshot Previews/Trades 4-17-17 $NFLX $IBM $EBAY $SLB $HON https://t.co/wA17uNlxOT')
('2017-04-17 02:30:15', 'LONG #Stocks #Options #Trading Idea on $NFLX  ahead of #Earnings 17 Apr - HERE on our #mtbanalysis Mag &gt;‰Û_ https://t.co/WFi31cY9Ff')
('2017-04-17 02:27:00', 'RT @TheStreet: What is surprising is how much higher Netflix usage is than that for any direct rival https://t.co/ZOF428erIN $NFLX')
('2017-04-17 02:17:45', 'RT @eWhispers: #earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB  https:/‰Û_')
('2017-04-17 02:14:02', 'Do you know that #Book Value for $NFLX is $6.23 https://t.co/YINtidFsri')
('2017-04-17 02:13:59', 'RT @eWhispers: #earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB  https:/‰Û_')
('2017-04-17 02:13:38', 'RT @PipsToDollars: $NFLX e/r is MONDAY after the close.\nNetflix Opens Techland Earnings Season On Monday Sentiment Mostly Negative  https:‰Û_')
('2017-04-17 02:12:53'," ""RT @mchaudhry82: Monday's Watch Part 1: $NFLX $IMNP $SPY $CBIO $TVIX $NVDA $PLUG $AUPH $ADPT $PTX $VSTM $CNAT #leggo #StayGreen ‰÷_•üè_Ù÷÷ https:/‰Û_"")"
('2017-04-17 02:12:43', 'RT @OptionsHawk: $NFLX Put/Call Open Interest at 1.39 into earnings highest I have on record (2 years) investors are well hedged into thi‰Û_')
('2017-04-17 02:07:58', 'My earnings watch list for this week: $NFLX $UAL $GS $BAC $HOG $JNJ $UNH $IMB $ABT $AMTD $MS $EBAY $AXP $QCOM $PM $VZ $V $GE $HON $SLB')
('2017-04-17 02:06:46', 'RT @JustinPulitzer: Weekend Review Video 4/16: $VIX $TLT $GLD $SLV $IBB $SPY $IWM $QQQ $MSFT $AAPL $AMZN $FB $NFLX $TSLA $CAT $IBM $QCOM ht‰Û_')
('2017-04-17 01:59:32', 'RT @OptionsHawk: Now Available: Earnings Snapshot Previews/Trades 4-17-17 $NFLX $IBM $EBAY $SLB $HON https://t.co/wA17uNlxOT')
('2017-04-17 01:58:05'," ""RT @TMLTrader: $NFLX How to Find and Own America's Greatest Opportunities (by William O'Neil): featuring Netflix. Courtesy of IBD https://t‰Û_"")"
('2017-04-17 01:57:51', 'RT @OptionsHawk: $NFLX Put/Call Open Interest at 1.39 into earnings highest I have on record (2 years) investors are well hedged into thi‰Û_')
('2017-04-17 01:54:37', 'RT @eWhispers: #earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB  https:/‰Û_')
('2017-04-17 01:49:02', '@YoungScrappyNHungry $NFLX - will be up -')
('2017-04-17 01:45:00', '$NFLX #Options OI chart. Free stocks app https://t.co/nuRDoiNnnh https://t.co/s9NeA8eKx3')
('2017-04-17 01:44:01', 'RT @OptionsHawk: Now Available: Earnings Snapshot Previews/Trades 4-17-17 $NFLX $IBM $EBAY $SLB $HON https://t.co/wA17uNlxOT')
('2017-04-17 01:43:39'," ""Monday's Watch Part 1: $NFLX $IMNP $SPY $CBIO $TVIX $NVDA $PLUG $AUPH $ADPT $PTX $VSTM $CNAT #leggo #StayGreen ‰÷_•üè_Ù÷÷ https://t.co/rDRmtOj2AN"")"
('2017-04-17 01:36:33', 'RT @OptionsHawk: Now Available: Earnings Snapshot Previews/Trades 4-17-17 $NFLX $IBM $EBAY $SLB $HON https://t.co/wA17uNlxOT')
